"Date","Price","Open","High","Low","Vol.","Change %"
"05-05-2025","54.32","54.34","54.45","54.28","3.34M","0.76%"
"02-05-2025","53.91","54.04","54.12","53.79","4.99M","0.69%"
"01-05-2025","53.54","53.65","53.72","53.49","5.26M","-0.06%"
"30-04-2025","53.57","53.46","53.78","53.28","7.09M","0.06%"
"29-04-2025","53.54","53.40","53.56","53.27","4.08M","0.47%"
"28-04-2025","53.29","53.59","53.62","53.12","7.11M","0.83%"
"25-04-2025","52.85","52.60","52.86","52.60","6.68M","-1.66%"
"24-04-2025","53.74","53.26","53.77","53.16","4.29M","1.05%"
"23-04-2025","53.18","53.58","53.58","53.12","7.36M","-0.60%"
"22-04-2025","53.50","53.45","53.69","53.33","10.24M","0.94%"
"21-04-2025","53.00","53.04","53.13","52.71","9.55M","1.42%"
"17-04-2025","52.26","52.05","52.54","52.05","9.23M","2.21%"
"16-04-2025","51.13","51.32","51.63","51.08","7.20M","0.00%"
"15-04-2025","51.13","51.40","51.58","51.03","18.60M","0.20%"
"14-04-2025","51.03","51.37","51.37","50.90","5.65M","0.53%"
"11-04-2025","50.76","50.12","50.78","50.03","11.18M","0.48%"
"10-04-2025","50.52","50.38","50.63","49.72","10.30M","-1.37%"
"09-04-2025","51.22","48.90","51.33","48.55","25.54M","4.19%"
"08-04-2025","49.16","50.18","50.18","48.88","8.87M","0.06%"
"07-04-2025","49.13","48.96","49.96","48.67","16.81M","-0.12%"
"04-04-2025","49.19","49.70","49.87","49.08","14.07M","-3.89%"
"03-04-2025","51.18","51.01","51.36","51.01","12.19M","-0.74%"
"02-04-2025","51.56","51.33","51.67","51.32","6.19M","1.00%"
"01-04-2025","51.05","50.86","51.15","50.83","4.16M","-0.84%"
"31-03-2025","51.48","50.99","51.52","50.99","4.23M","0.39%"
"28-03-2025","51.28","51.57","51.67","51.23","7.36M","-0.98%"
"27-03-2025","51.79","51.83","51.88","51.69","4.41M","0.76%"
"26-03-2025","51.40","51.60","51.66","51.40","8.79M","-1.23%"
"25-03-2025","52.04","51.92","52.07","51.71","11.00M","-0.15%"
"24-03-2025","52.12","52.07","52.15","52.02","5.52M","1.26%"
"21-03-2025","51.47","51.38","51.52","51.28","7.84M","1.40%"
"20-03-2025","50.76","50.65","50.82","50.53","4.60M","0.30%"
"19-03-2025","50.61","50.45","50.70","50.33","10.71M","1.46%"
"18-03-2025","49.88","49.98","49.98","49.76","7.21M","0.89%"
"17-03-2025","49.44","49.20","49.46","49.12","3.97M","1.08%"
"14-03-2025","48.91","48.84","48.91","48.72","4.97M","0.82%"
"13-03-2025","48.51","48.45","48.58","48.43","5.91M","-0.45%"
"12-03-2025","48.73","48.69","48.76","48.53","6.62M","0.14%"
"11-03-2025","48.66","48.77","48.81","48.35","4.84M","0.62%"
"10-03-2025","48.36","48.45","48.53","48.18","6.24M","-1.47%"
"07-03-2025","49.08","48.91","49.12","48.73","5.17M","0.29%"
"06-03-2025","48.94","49.00","49.23","48.90","8.06M","0.02%"
"05-03-2025","48.93","48.43","48.99","48.43","11.91M","2.26%"
"04-03-2025","47.85","47.81","48.07","47.60","5.57M","0.10%"
"03-03-2025","47.80","48.02","48.32","47.70","6.51M","-0.62%"
"28-02-2025","48.10","47.92","48.49","47.65","7.13M","-0.93%"
"27-02-2025","48.55","48.72","48.81","48.53","6.68M","-0.96%"
"26-02-2025","49.02","49.05","49.26","49.02","7.36M","-0.47%"
"25-02-2025","49.25","49.04","49.28","48.99","9.08M","-0.02%"
"24-02-2025","49.26","49.22","49.30","49.15","5.24M","-0.08%"
"21-02-2025","49.30","49.81","49.81","49.27","8.22M","-1.56%"
"20-02-2025","50.08","50.07","50.19","49.93","5.75M","0.64%"
"19-02-2025","49.76","49.62","49.77","49.59","3.90M","0.36%"
"18-02-2025","49.58","49.49","49.69","49.49","7.32M","-0.02%"
"14-02-2025","49.59","49.77","49.83","49.57","5.35M","-1.59%"
"13-02-2025","50.39","50.03","50.42","49.99","7.07M","1.18%"
"12-02-2025","49.80","49.75","50.01","49.66","8.69M","-0.68%"
"11-02-2025","50.14","50.20","50.24","50.08","4.85M","-0.87%"
"10-02-2025","50.58","50.41","50.58","50.41","3.33M","0.16%"
"07-02-2025","50.50","50.78","50.84","50.40","5.70M","-0.69%"
"06-02-2025","50.85","50.89","50.94","50.79","5.63M","-0.84%"
"05-02-2025","51.28","51.26","51.31","51.15","2.66M","-0.29%"
"04-02-2025","51.43","51.34","51.50","51.26","5.38M","1.04%"
"03-02-2025","50.90","50.51","50.97","50.51","4.28M","-0.18%"
"31-01-2025","50.99","51.21","51.30","50.99","7.15M","0.08%"
"30-01-2025","50.95","50.73","51.00","50.73","5.89M","0.85%"
"29-01-2025","50.52","50.57","50.59","50.44","4.65M","0.70%"
"28-01-2025","50.17","50.05","50.18","49.97","3.21M","0.16%"
"27-01-2025","50.09","50.00","50.15","49.91","6.55M","-1.16%"
"24-01-2025","50.68","50.78","50.78","50.64","7.54M","-0.80%"
"23-01-2025","51.09","51.01","51.14","50.96","4.43M","0.93%"
"22-01-2025","50.62","50.68","50.71","50.58","5.56M","-0.41%"
"21-01-2025","50.83","50.73","50.87","50.70","7.08M","-0.68%"
"17-01-2025","51.18","51.11","51.28","51.02","5.48M","0.25%"
"16-01-2025","51.05","51.24","51.27","51.04","3.78M","-0.45%"
"15-01-2025","51.28","51.32","51.42","51.24","3.91M","0.69%"
"14-01-2025","50.93","51.00","51.03","50.78","4.20M","0.55%"
"13-01-2025","50.65","50.36","50.65","50.36","6.52M","-1.09%"
"10-01-2025","51.21","51.49","51.57","51.15","5.76M","-2.14%"
"08-01-2025","52.33","52.34","52.38","52.21","3.48M","-0.19%"
"07-01-2025","52.43","52.75","52.83","52.41","5.84M","-0.40%"
"06-01-2025","52.64","52.65","52.82","52.56","5.53M","-1.37%"
"03-01-2025","53.37","53.31","53.46","53.30","3.97M","-0.06%"
"02-01-2025","53.40","53.58","53.68","53.35","5.79M","1.44%"
"31-12-2024","52.64","52.70","52.78","52.58","2.91M","-0.02%"
"30-12-2024","52.65","52.74","52.74","52.53","3.24M","-0.85%"
"27-12-2024","53.10","53.00","53.12","52.91","3.24M","-0.28%"
"26-12-2024","53.25","53.17","53.25","53.10","1.59M","-0.26%"
"24-12-2024","53.39","53.17","53.39","53.15","1.59M","0.23%"
"23-12-2024","53.27","53.24","53.31","53.06","5.08M","-0.28%"
